id;titulo;conteudo;ativo;created_at;updated_at;deleted_at
70f49ce7-ce00-4643-8686-750365054576;rostrum craftsman thrive;../fake-data/blob/hipster.txt;false;2024-05-27T21:00:37;2024-05-27T19:25:54;2024-05-28T04:34:33
507264a9-f3b8-41ca-98c3-48ed460ba1de;nominalize found upbeat;../fake-data/blob/hipster.txt;true;2024-05-27T20:11:55;2024-05-28T02:59:36;2024-05-27T22:18:22
8e012939-2070-4ef8-aabc-116cc768ff88;until rusty or;../fake-data/blob/hipster.txt;true;2024-05-28T15:00:59;2024-05-28T11:50:24;2024-05-27T22:53:16
c023f961-9cf2-415b-b6fc-f31d3ce73c10;despite alongside;../fake-data/blob/hipster.txt;true;2024-05-27T17:15:55;2024-05-28T01:28:46;2024-05-28T03:54:04
b6474443-7ee3-40d2-914d-d5a3117e36e7;weekender;../fake-data/blob/hipster.txt;false;2024-05-28T10:19:52;2024-05-28T14:43:04;2024-05-28T13:29:50
39056c2b-bbee-466f-b04a-7c8f9ca1252e;amidst;../fake-data/blob/hipster.txt;false;2024-05-28T11:18:28;2024-05-27T19:41:36;2024-05-27T19:08:04
96f15c4b-3a6c-4184-b858-d69f0f7f4bd7;elevation;../fake-data/blob/hipster.txt;true;2024-05-28T09:51:54;2024-05-28T11:28:38;2024-05-28T06:57:49
df6536b6-9ee2-4425-917f-bbd069145669;carport meanwhile chief;../fake-data/blob/hipster.txt;false;2024-05-28T11:41:31;2024-05-28T09:03:51;2024-05-28T16:23:38
68269d84-adc8-4786-abf2-8fe42b078949;furthermore vivid apud;../fake-data/blob/hipster.txt;true;2024-05-28T13:48:53;2024-05-27T20:47:21;2024-05-28T08:14:40
08cdfbbe-4bfb-4c57-aa87-03c84df4cbf9;arena strategy despite;../fake-data/blob/hipster.txt;true;2024-05-27T19:37:06;2024-05-28T13:20:32;2024-05-28T12:15:02
