id;titulo;conteudo;ativo;created_at;updated_at;deleted_at
792db97b-02d8-4cf0-ba50-ef575d72ea39;boo quizzically;../fake-data/blob/hipster.txt;false;2024-05-28T02:55:36;2024-05-28T16:26:20;2024-05-27T22:10:15
4f336cbf-5b59-49a6-8fd3-2b5b60fc50a2;um;../fake-data/blob/hipster.txt;true;2024-05-27T20:56:11;2024-05-28T12:28:55;2024-05-28T06:24:34
e7926a5d-30fe-4300-9f33-3c46e83c9776;ah nitrify;../fake-data/blob/hipster.txt;true;2024-05-27T22:31:47;2024-05-27T16:52:11;2024-05-27T23:31:05
71a6e84c-9142-44d4-8fc5-3367db50e1ae;drat;../fake-data/blob/hipster.txt;true;2024-05-27T23:28:39;2024-05-27T20:24:02;2024-05-28T04:22:39
afc81181-dcd4-4b25-b761-dde01d14cce1;ah behind;../fake-data/blob/hipster.txt;true;2024-05-28T11:26:48;2024-05-27T20:00:10;2024-05-28T09:06:57
a5af4d7e-66d0-4098-80ca-652b6cf3baa8;beneath hm lest;../fake-data/blob/hipster.txt;true;2024-05-28T09:06:00;2024-05-28T13:45:11;2024-05-27T18:09:25
82bb67be-b871-44e0-bd66-fc7bb899ddc8;till instead;../fake-data/blob/hipster.txt;true;2024-05-28T06:44:21;2024-05-28T11:01:38;2024-05-28T08:11:18
7743451b-3e6f-4da6-a830-357839e10419;next inasmuch;../fake-data/blob/hipster.txt;false;2024-05-28T11:41:42;2024-05-27T20:09:06;2024-05-28T05:02:26
9f649263-b0e0-4baa-abe3-8bd684c53fd0;never stake;../fake-data/blob/hipster.txt;false;2024-05-27T22:53:24;2024-05-28T02:18:03;2024-05-27T22:38:30
c2a47b50-e61b-43d4-9e1e-89ec77a3e3d4;hmph shellac huzzah;../fake-data/blob/hipster.txt;false;2024-05-28T08:02:30;2024-05-27T22:19:59;2024-05-28T07:01:56
